nome,categoria,url,porcao,calorias,carboidratos,proteinas,gorduras_totais,gorduras_saturadas,fibras,acucares,sodio
CHOCOKI READY,,https://www.essentialnutrition.com.br/chocoki-ready-multivitaminico-achocolatado-pack,"Porção: 200 ml
(1 unidade)",107.0,9.2,5.9,5.2,3.3,0.7,7.7,162.0
FRESH START,,https://www.essentialnutrition.com.br/fresh-start-gel-de-limpeza-facial,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHOCOLIFT BE TRUTH,,https://www.essentialnutrition.com.br/chocollift-be-truth-chocolate-branco-proteico-barra,"Porção: 40g
(1 unidade)",521.0,21.0,17.0,41.0,26.0,20.0,1.6,59.0
COLLAGEN BONES,,https://www.essentialnutrition.com.br/collagen-bones,,48.0,1.4,8.5,0.6,0.6,1.7,0.0,63.0
CHOCOLIFT BE POWERFUL,,https://www.essentialnutrition.com.br/chocolift-be-powerful-chocolate-whey-protein-nibs-de-cacau,"Porção: 40g
(1 unidade)",473.0,31.0,20.0,35.0,22.0,8.8,0.6,46.0
MONDZ,,https://www.essentialnutrition.com.br/mondz-amendoas-com-chocolate,"Porção: 50g
(1 sachê)",475.0,29.0,21.0,36.0,14.0,9.1,1.5,42.0
DHA TG,,https://www.essentialnutrition.com.br/dha-tg-omega-3-ultraconcentrado-180,"Porção: 4,3g
(3 cápsulas)",27.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
CACAO WHEY,,https://www.essentialnutrition.com.br/cacao-whey-protein-chocolate-sache,"Porção: 28g
(1 sachê)",104.0,1.9,22.0,0.9,0.5,1.6,0.0,89.0
VEGGIE PROTEIN BANANA COM CANELA,,https://www.essentialnutrition.com.br/veggie-protein-banana-com-canela-box,"Porção: 33g
(1 sachê)",134.0,3.6,22.0,3.5,0.0,2.1,2.0,282.0
AMINO GREENS,,https://www.essentialnutrition.com.br/amino-greens-limao-box,"Porção: 8,7g (1 sachê)",5.0,1.0,0.0,0.0,0.0,0.8,0.0,56.0
IMMUNO GOLDEN WHEY,,https://www.essentialnutrition.com.br/immuno-golden-whey-box,"Porção: 32g
(1 sachê)",122.0,4.1,22.0,1.9,1.7,1.0,0.0,104.0
COLLAGEN ESSENTIAL PROTEIN TANGERINA,,https://www.essentialnutrition.com.br/collagen-essential-protein-tangerina,"Porção: 17,3g
(1 colher-medida)",56.0,0.0,14.0,0.0,0.0,1.0,0.0,43.0
ESPRESSO WHEY,,https://www.essentialnutrition.com.br/espresso-whey-protein-hidrolisado-e-isolado-sache,"Porção: 30g
(1 sachê)",110.0,4.5,22.0,0.4,0.2,0.7,0.0,86.0
ESPRESSO WHEY,,https://www.essentialnutrition.com.br/espresso-whey-protein-hidrolisado-e-isolado,"Porção: 30g
(1 colher-medida)",110.0,4.5,22.0,0.4,0.2,0.7,0.0,86.0
COLLAGEN ESSENTIAL PROTEIN NEUTRO,,https://www.essentialnutrition.com.br/collagen-essential-protein-neutro,"Porção: 15,25g
(1 colher-medida)",56.0,0.0,14.0,0.0,0.0,0.0,0.0,67.0
BLISSFUL,,https://www.essentialnutrition.com.br/blissful,"Porção: 269ml
(1 lata)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMMUNO WHEY BAUNILHA,,https://www.essentialnutrition.com.br/immuno-whey-baunilha-sache,"Porção: 25g
(1 sachê)",88.0,0.0,22.0,0.0,0.0,0.0,0.0,100.0
VITAMINI JUICE UVA,,https://www.essentialnutrition.com.br/vitamini-juice-uva-suco-em-po,"Quantidade por porção: 11,7g
(1 colher-medida)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREATINE ACTION GUMMY JABUTICABA,,https://www.essentialnutrition.com.br/creatina-em-goma-sabor-jabuticaba,Porção: 8g (2 gomas),11.0,3.0,0.8,0.0,0.0,0.0,0.0,0.0
PINEAPPLE WHEY,,https://www.essentialnutrition.com.br/pineapple-whey-abacaxi-com-agua-de-coco,"Porção: 30g
(1 colher-medida)",109.0,5.1,22.0,0.0,0.0,0.6,2.3,88.0
MELATONIN DUO,,https://www.essentialnutrition.com.br/melatonin-duo-melatonina,"Porção: 0,2g (1 comprimido)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMINOLIFT,,https://www.essentialnutrition.com.br/aminolift-tangerina-aminoacidos-magnesio-vitamina-b6,"Porção: 12,5g
(1 colher-medida, conforme marcação)",14.0,2.9,0.0,0.0,0.0,1.6,0.0,16.0
QUANTUM LEAP,,https://www.essentialnutrition.com.br/quantum-leap-bebida-para-foco,Porção: 269ml (1 lata),80.0,20.0,0.0,0.0,0.0,0.0,20.0,36.0
JOURNEY - MEDITERRANEAN CRACKER,,https://www.essentialnutrition.com.br/journey-mediterranean-cracker,"Porção: 25g
(1 sachê)",363.0,39.0,18.0,15.0,2.5,10.0,1.8,591.0
DHA TG,,https://www.essentialnutrition.com.br/dha-tg-omega-3-ultraconcentrado,"Porção: 4,3g
(3 cápsulas)",27.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
VITAMINI D3 GUMMY,,https://www.essentialnutrition.com.br/vitamini-d3-gummy-gomas-vitaminadas,,5.0,1.6,0.0,0.0,0.0,0.9,0.0,0.0
RED BERRY WHEY,,https://www.essentialnutrition.com.br/red-berry-whey-antioxidante,"Porção: 30g
(1 colher-medida)",109.0,5.1,22.0,0.0,0.0,0.0,1.1,97.0
