nome,categoria,url,porcao,calorias,carboidratos,proteinas,gorduras_totais,gorduras_saturadas,fibras,acucares,sodio
PRO-COLLAGEN VEGAN,,https://www.essentialnutrition.com.br/pro-collagen-vegan-laranja-box,"Porção: 12,3g
(1 sachê)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEEL COMPLETE,,https://www.essentialnutrition.com.br/feel-complete-shake-chocolate,"Porção: 54,7g
(2 colheres-medida)",177.0,20.0,13.0,4.3,1.8,9.1,12.0,156.0
GAMALIFT,,https://www.essentialnutrition.com.br/gamalift-suplemento-de-vitamina-em-capsulas,"Porção: 2,8g
(4 cápsulas)",18.0,0.0,0.0,2.0,0.3,0.0,0.0,0.0
VEGGIE PROTEIN CACAO,,https://www.essentialnutrition.com.br/veggie-protein-cacao-chocolate,Porção: 35g (1 colher-medida),137.0,2.7,22.0,4.2,0.9,3.5,0.0,293.0
NAC + GLYCINE + TAURINE,,https://www.essentialnutrition.com.br/nac-glicina-taurina,"Porção: 3,2g
(3 cápsulas)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B COMPLEX,,https://www.essentialnutrition.com.br/b-complex-capsulas,"Porção: 0,55g
(1 cápsula)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLAGEN PEPT PROTEIN,,https://www.essentialnutrition.com.br/collagen-pept-protein-bebida-proteica-pack,"Porção: 250 ml
(1 unidade)",126.0,2.6,20.0,3.5,3.3,4.1,0.0,90.0
BEEF PROTEIN BANANA COM CANELA,,https://www.essentialnutrition.com.br/beef-protein-banana-com-canela-sache,"Porção: 30g
(1 sachê)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUTAMINA,,https://www.essentialnutrition.com.br/glutamina-em-po-caixa,Porção: 5g (1 sachê),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREALIFT,,https://www.essentialnutrition.com.br/crealift-creatina-mono-hidratada-creapure,"Porção: 3g
(1 colher-medida, conforme marcação)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLAGEN ESSENTIAL PROTEIN CHOCOLATE,,https://www.essentialnutrition.com.br/collagen-essential-protein-chocolate,"Porção: 20,4g
(1 colher-medida)",67.0,2.0,14.0,0.3,0.2,1.2,0.0,88.0
CARBOLIFT,,https://www.essentialnutrition.com.br/carbolift-palatinose-45-doses,"Porção: 20g
(1 colher-medida, conforme marcação)",80.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0
COLLAGEN 2 JOINT NEUTRO,,https://www.essentialnutrition.com.br/collagen-2-joint-neutro-lata,"Porção: 10g
(1 colher-medida)",34.0,0.0,8.4,0.0,0.0,0.0,0.0,45.0
COLLAGEN RESILIENCE,,https://www.essentialnutrition.com.br/collagen-resilience-maracuja,"Porção: 13g
(1 colher-medida)",32.0,0.7,7.2,0.0,0.0,0.0,0.0,60.0
IMMUNO VEGGIE PROTEIN CHOCOLATE,,https://www.essentialnutrition.com.br/immuno-veggie-protein-chocolate,"Porção: 36,6g (1 colher-medida)",133.0,4.4,22.0,3.0,1.5,3.8,0.0,200.0
SWEETLIFT,,https://www.essentialnutrition.com.br/sweetlift-adocante-natural-em-saches-caixa,"Porção: 0,8g
(1 sachê)",101.0,43.0,0.6,0.0,0.0,0.0,0.0,28.0
VANILLA WHEY,,https://www.essentialnutrition.com.br/vanilla-whey-protein-baunilha,"Porção: 25g
(1 colher-medida)",88.0,0.0,22.0,0.0,0.0,0.0,0.0,89.0
BETA ACTION JABUTICABA,,https://www.essentialnutrition.com.br/beta-action-pre-treino-jabuticaba-com-roma,"Porção: 31,5g (1 colher-medida)",92.0,23.0,0.0,0.0,0.0,0.0,19.0,227.0
RED BERRY WHEY,,https://www.essentialnutrition.com.br/red-berry-whey-antioxidante-box,"Porção: 30g
(1 sachê)",109.0,5.1,22.0,0.0,0.0,0.0,1.1,97.0
IMMUNO WHEY BAUNILHA,,https://www.essentialnutrition.com.br/immuno-whey-baunilha-box,"Porção: 25g
(1 sachê)",88.0,0.0,22.0,0.0,0.0,0.0,0.0,100.0
BRAINSTORM COFFEE CARAMEL LATTE,,https://www.essentialnutrition.com.br/brainstorm-coffee-caramel-latte,"Porção: 13,7g
(1 colher-medida, conforme marcação)",54.0,3.9,0.0,4.1,3.9,2.2,0.0,31.0
COLLAGEN ESSENTIAL PROTEIN BAUNILHA,,https://www.essentialnutrition.com.br/collagen-essential-protein-baunilha,"Porção: 16,7g
(1 colher-medida)",59.0,0.8,14.0,0.0,0.0,0.0,0.0,49.0
VANILLA WHEY,,https://www.essentialnutrition.com.br/vanilla-whey-baunilha-box,"Porção: 25g
(1 sachê)",88.0,0.0,22.0,0.0,0.0,0.0,0.0,89.0
COLLAGEN GUT UVA,,https://www.essentialnutrition.com.br/collagen-gut-uva,"Porção: 22g
(1 colher-medida)",34.0,1.4,4.2,0.0,0.0,5.7,0.0,139.0
CACAO WHEY,,https://www.essentialnutrition.com.br/cacao-whey-protein-chocolate-box,"Porção: 28g
(1 sachê)",104.0,1.9,22.0,0.9,0.5,1.6,0.0,89.0
CREATINE ACTION GUMMY MAÇÃ-VERDE,,https://www.essentialnutrition.com.br/creatina-em-goma-sabor-maca-verde,Porção: 8g (2 gomas),11.0,3.0,0.8,0.0,0.0,0.0,0.0,0.0
VITALIFT,,https://www.essentialnutrition.com.br/vitalift-multivitaminico-em-capsulas,"Porção: 0,7g (1 cápsula)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUTAMINA,,https://www.essentialnutrition.com.br/glutamina-60-doses,"Porção: 5g
(1 colher-medida, conforme marcação)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COQ10,,https://www.essentialnutrition.com.br/coq10-em-capsula,"Porção: 1,5g
(2 cápsulas)",7.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
MCT LIFT,,https://www.essentialnutrition.com.br/mctlift-oleo-de-coco,Porção: 15ml (3 colheres de chá),126.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0
CHOCOLIFT BE UNIQUE,,https://www.essentialnutrition.com.br/chocolift-be-unique-chocolate-whey-protein,Porção: 40g (1 unidade),473.0,33.0,21.0,35.0,22.0,7.1,0.0,51.0
LIQUID DHA TG,,https://www.essentialnutrition.com.br/liquid-dha-tg-mix-de-frutas,"Porção: 7,5ml
(3 colheres-medida, conforme marcação)",59.0,0.0,0.0,6.5,3.5,0.0,0.0,0.0
IMMUNO VEGGIE PROTEIN CHOCOLATE,,https://www.essentialnutrition.com.br/immuno-veggie-protein-chocolate-sache,"Porção: 36,6g (1 sachê)",133.0,4.4,22.0,3.0,1.5,3.8,0.0,200.0
BCAA LIFT 8:1:1 NEUTRO,,https://www.essentialnutrition.com.br/bcaa-lift-8-1-1-neutro,"Porção: 7g
(1 colher-medida, conforme marcação)",11.0,3.9,0.0,0.0,0.0,0.0,1.3,0.0
[MG] COMPLEX,,https://www.essentialnutrition.com.br/mg-complex-magnesio,"Porção: 2,5g
(3 cápsulas)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VITAMINI JUICE MORANGO,,https://www.essentialnutrition.com.br/vitamini-juice-morango-suco-em-po,"Porção: 11,5g
(1 colher-medida)",31.0,5.8,0.0,0.0,0.0,3.8,5.4,33.0
LIQUID SUPER OMEGA-3 TG,,https://www.essentialnutrition.com.br/liquid-super-omega-3-tg,"Porção: 7,5ml
(3 colheres-medida, conforme marcação)",59.0,0.0,0.0,6.5,3.5,0.0,0.0,0.0
CARBPRO 4:1 ENDURANCE & RECOVERY NEUTRO,,https://www.essentialnutrition.com.br/carbpro-4-1-neutro,"Porção: 70g
(2 colheres-medida, conforme marcação)",248.0,50.0,12.0,0.0,0.0,0.0,33.0,72.0
CARBOLIFT,,https://www.essentialnutrition.com.br/carbolift-palatinose,"Porção: 20g
(1 colher-medida, conforme marcação)",80.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0
AÇAÍ WHEY,,https://www.essentialnutrition.com.br/acai-whey-protein-acai-com-banana,"Porção: 30g
(2 colheres-medidas)",116.0,3.0,22.0,1.7,0.5,1.0,1.4,96.0
IMMUNO WHEY CHOCOLATE,,https://www.essentialnutrition.com.br/immuno-whey-chocolate,"Porção: 31g
(1 colher-medida)",102.0,1.6,22.0,0.8,0.4,1.9,0.0,129.0
BEEF PROTEIN BANANA COM CANELA,,https://www.essentialnutrition.com.br/beef-protein-banana-com-canela-box,"Porção: 30g
(1 sachê)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEGAN DELIGHT,,https://www.essentialnutrition.com.br/vegan-delight-bebida-vegetal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLAGEN SKIN NEUTRO,,https://www.essentialnutrition.com.br/collagen-skin-neutro,"Porção: 11g
(1 colher-medida, conforme marcação)",36.0,0.9,8.4,0.0,0.0,0.0,0.0,105.0
