nome,categoria,url,porcao,calorias,carboidratos,proteinas,gorduras_totais,gorduras_saturadas,fibras,acucares,sodio
CAPPUCCINO WHEY,TESTE,https://www.essentialnutrition.com.br/cappuccino-whey-protein-box,"Porção: 30g
(1 sachê)",104.0,2.9,22.0,0.5,0.2,0.7,0.0,93.0
RADIANCE JOY MYSTIC LEMON,TESTE,https://www.essentialnutrition.com.br/radiance-joy-protein-bar-mystic-lemon,Porção: 50g (1 barra),158.0,14.0,11.0,7.3,3.9,8.0,2.9,57.0
COLLAGEN PEPT PROTEIN,TESTE,https://www.essentialnutrition.com.br/collagen-pept-protein-bebida-proteica,"Porção: 250 ml
(1 unidade)",126.0,2.6,20.0,3.5,3.3,4.1,0.0,90.0
